date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:09	1637/1637	---M--	200	added ('OK')	application/javascript	etag:%22665-581afda94d480%22	http://www.necbdc.org.in/sites/all/themes/drupal-openframework/js/jquery.placeholder.min.js?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/themes/drupal-openframework/js/jquery.placeholder.min1c09.js	(from http://www.necbdc.org.in/)
00:35:09	250/250	---M--	200	added ('OK')	image/png	etag:%22fa-581afda94d480%22	http://www.necbdc.org.in/sites/all/themes/drupal-openframework/images/searchbutton.png	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/themes/drupal-openframework/images/searchbutton.png	(from http://www.necbdc.org.in/)
00:35:10	6317/6317	---M--	200	added ('OK')	application/javascript	etag:%2218ad-581afda94d480%22	http://www.necbdc.org.in/sites/all/themes/drupal-openframework/js/override.js?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/themes/drupal-openframework/js/override1c09.js	(from http://www.necbdc.org.in/)
00:35:10	28538/28538	---M--	200	added ('OK')	application/javascript	etag:%226f7a-581afda94d480%22	http://www.necbdc.org.in/sites/all/themes/drupal-openframework/packages/bootstrap-2.3.1/js/bootstrap.min.js?r8tvf8	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/all/themes/drupal-openframework/packages/bootstrap-2.3.1/js/bootstrap.min1c09.js	(from http://www.necbdc.org.in/)
00:35:12	40089/40089	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:10%20GMT	http://www.necbdc.org.in/section/about-cbtc	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/section/about-cbtc.html	(from http://www.necbdc.org.in/)
00:35:14	45061/45061	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:11%20GMT	http://www.necbdc.org.in/section/history-cbtc	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/section/history-cbtc.html	(from http://www.necbdc.org.in/)
00:35:14	35546/35546	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:13%20GMT	http://www.necbdc.org.in/section/cbtc-partners	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/section/cbtc-partners.html	(from http://www.necbdc.org.in/)
00:35:16	35831/35831	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:14%20GMT	http://www.necbdc.org.in/section/governing-body-0	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/section/governing-body-0.html	(from http://www.necbdc.org.in/)
00:35:17	35807/35807	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:15%20GMT	http://www.necbdc.org.in/section/cbtc-staff	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/section/cbtc-staff.html	(from http://www.necbdc.org.in/)
00:35:18	38581/38581	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:16%20GMT	http://www.necbdc.org.in/section/services	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/section/services.html	(from http://www.necbdc.org.in/)
